ASTRONOMICAL LOW TIDE,ASTRONOMICAL LOW TIDE
AVALANCHE,AVALANCHE
BLIZZARD,BLIZZARD
BLIZZARD/WINTER STORM,BLIZZARD
SNOW SQUALL,BLIZZARD
SNOW SQUALLS,BLIZZARD
GROUND BLIZZARD,BLIZZARD
HEAVY SNOW SQUALLS,BLIZZARD
HEAVY SNOW/SQUALLS,BLIZZARD
HEAVY SNOW-SQUALLS,BLIZZARD
COASTAL EROSION,COASTAL FLOOD
COASTAL FLOOD,COASTAL FLOOD
COASTAL FLOODING,COASTAL FLOOD
COASTAL FLOODING/EROSION,COASTAL FLOOD
COASTAL STORM,COASTAL FLOOD
COASTAL SURGE,COASTAL FLOOD
EROSION/CSTL FLOOD,COASTAL FLOOD
HEAVY SURF COASTAL FLOODING,COASTAL FLOOD
COLD AND WET CONDITIONS,COLD/WIND CHILL
COLD/WIND CHILL,COLD/WIND CHILL
COLD,COLD/WIND CHILL
COLD AND SNOW,COLD/WIND CHILL
COOL AND WET,COLD/WIND CHILL
LOW TEMPERATURE,COLD/WIND CHILL
UNSEASONABLE COLD,COLD/WIND CHILL
UNSEASONABLY COLD,COLD/WIND CHILL
LANDSLIDE,DEBRIS FLOW
LANDSLIDES,DEBRIS FLOW
LANDSLUMP,DEBRIS FLOW
MUD SLIDE,DEBRIS FLOW
MUD SLIDES,DEBRIS FLOW
MUDSLIDE,DEBRIS FLOW
MUDSLIDES,DEBRIS FLOW
ROCK SLIDE,DEBRIS FLOW
FOG,DENSE FOG
DENSE FOG,DENSE FOG
DENSE SMOKE,DENSE SMOKE
DROUGHT,DROUGHT
DROUGHT/EXCESSIVE HEAT,DROUGHT
HEAT WAVE DROUGHT,DROUGHT
DUST DEVIL,DUST DEVIL
BLOWING DUST,DUST STORM
DUST STORM,DUST STORM
DUST STORM/HIGH WINDS,DUST STORM
EventType,EventCategory
EXCESSIVE HEAT,EXCESSIVE HEAT
HEAT WAVE,EXCESSIVE HEAT
EXTREME HEAT,EXCESSIVE HEAT
RECORD/EXCESSIVE HEAT,EXCESSIVE HEAT
RECORD HEAT,EXCESSIVE HEAT
EXTENDED COLD,EXTREME COLD/WIND CHILL
EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL
EXTREME COLD,EXTREME COLD/WIND CHILL
EXTREME WIND CHILL,EXTREME COLD/WIND CHILL
EXTREME WINDCHILL,EXTREME COLD/WIND CHILL
RECORD COLD,EXTREME COLD/WIND CHILL
SNOW/ BITTER COLD,EXTREME COLD/WIND CHILL
DAM BREAK,FLASH FLOOD
 FLASH FLOOD,FLASH FLOOD
FLASH FLOOD - HEAVY RAIN,FLASH FLOOD
FLASH FLOOD,FLASH FLOOD
FLASH FLOOD/,FLASH FLOOD
FLASH FLOOD/ STREET,FLASH FLOOD
FLASH FLOOD FROM ICE JAMS,FLASH FLOOD
FLASH FLOOD LANDSLIDES,FLASH FLOOD
FLASH FLOODING/FLOOD,FLASH FLOOD
FLASH FLOODS,FLASH FLOOD
FLASH FLOODING,FLASH FLOOD
FLASH FLOODING/THUNDERSTORM WI,FLASH FLOOD
FLOOD/FLASHFLOOD,FLASH FLOOD
FLOOD FLASH,FLASH FLOOD
FLOOD/FLASH,FLASH FLOOD
FLOOD/RIVER FLOOD,FLASH FLOOD
FLOOD/FLASH FLOOD,FLASH FLOOD
FLASH FLOOD/FLOOD,FLASH FLOOD
EXCESSIVE RAINFALL,FLASH FLOOD
HIGH WATER,FLASH FLOOD
ICE JAM FLOODING,FLASH FLOOD
SNOWMELT FLOODING,FLASH FLOOD
FLOOD,FLOOD
FLOOD/FLASH/FLOOD,FLOOD
FLOOD/RAIN/WINDS,FLOOD
FLOODS,FLOOD
FLOOD & HEAVY RAIN,FLOOD
FLOODING,FLOOD
MAJOR FLOOD,FLOOD
MINOR FLOODING,FLOOD
MUD SLIDES URBAN FLOODING,FLOOD
RIVER FLOOD,FLOOD
RIVER FLOODING,FLOOD
RIVER AND STREAM FLOOD,FLOOD
RURAL FLOOD,FLOOD
URBAN FLOOD,FLOOD
URBAN FLOODING,FLOOD
SMALL STREAM FLOOD,FLOOD
TIDAL FLOODING,FLOOD
FREEZING FOG,FREEZING FOG
GLAZE,FREEZING FOG
GLAZE ICE,FREEZING FOG
GLAZE/ICE STORM,FREEZING FOG
AGRICULTURAL FREEZE,FROST/FREEZE
EARLY FROST,FROST/FREEZE
FROST,FROST/FREEZE
DAMAGING FREEZE,FROST/FREEZE
FROST/FREEZE,FROST/FREEZE
FROST\FREEZE,FROST/FREEZE
FREEZE,FROST/FREEZE
HARD FREEZE,FROST/FREEZE
FUNNEL CLOUD,FUNNEL CLOUD
HAIL,HAIL
HAIL 075,HAIL
HAIL 100,HAIL
HAIL 125,HAIL
HAIL 150,HAIL
HAIL 175,HAIL
HAIL 200,HAIL
HAIL 275,HAIL
HAIL 450,HAIL
HAIL DAMAGE,HAIL
HAIL/WINDS,HAIL
HAILSTORM,HAIL
MARINE HAIL,HAIL
SMALL HAIL,HAIL
THUNDERSTORM HAIL,HAIL
HEAT,HEAT
UNSEASONABLY WARM,HEAT
UNSEASONABLY WARM AND DRY,HEAT
UNSEASONABLY WARM,HEAT
EXCESSIVE WETNESS,HEAVY RAIN
HEAVY PRECIPITATION,HEAVY RAIN
HEAVY RAIN,HEAVY RAIN
HEAVY RAINS,HEAVY RAIN
HEAVY RAIN/LIGHTNING,HEAVY RAIN
HEAVY RAIN/SEVERE WEATHER,HEAVY RAIN
HEAVY RAINS/FLOODING,HEAVY RAIN
HEAVY RAIN/SNOW,HEAVY RAIN
